道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,,
126,2022,7,0.52,1.8374496,0,6.3605,86.13,8130.3,0,1,0,0,85.56651771,84.65,-0.916517712
127,2022,7,0,0.2664,0,0,81.99,37142,1,0,0,0,85.28381041,92.19,6.906189587
128,2022,7,0,0,0,0,88.63,31172,1,0,0,0,87.12210322,90.91,3.787896776
129,2022,8,20.62233105,2.643576,0,0,86.03,20811.5,1,0,0,0,85.5529736,87.07,1.517026404
130,2022,8,35.90989985,25.05,0,0,81.9,136009,1,0,0,0,83.24495074,84.63,1.385049261
131,2022,8,0.79,3.588852,0,0,84.49,21272.9,1,0,0,0,85.31614811,85.32,0.003851891
132,2022,8,15.3902,4.92896,0.05697,0,75.09,79138.97708,1,0,0,0,82.91146793,88.56,5.648532068
133,2022,8,6.7144,2.83162,0,0,88.01,77435.39832,1,0,0,0,86.72504965,92,5.274950349
134,2022,8,0.1752,0.73006,0.11394,0,82.85,67368.79654,1,0,0,0,85.53999921,92.02,6.480000792
135,2022,8,10.5252,5.489,0,0,87.37,69286.11574,1,0,0,0,86.15753527,88.75,2.592464733
136,2022,8,27.9167,4.220422,14.813534,0,84.18,67794.63379,1,0,0,0,85.16593381,85.06,-0.105933812
137,2022,8,0,2.756293,1.5614575,0,83.24,58981.3314,1,0,0,0,85.37220045,86.06,0.687799551
138,2022,8,29.4791638,12.913411,10.709542,0,86.96,74880,1,0,0,0,85.12452026,78.6,-6.524520264
139,2022,8,47.92,2.5490706,0,0,87.18,21943,1,0,0,0,85.5027504,84.89,-0.612750401
140,2022,8,14.86870238,1.2741,0,0,74.48,69732,1,0,0,0,83.02323674,86.53,3.506763256
141,2022,8,34.87,5.8781604,73.40546,0,86.78,35247,1,0,0,0,85.35055076,73.93,-11.42055076
142,2022,8,0.28,0.737484,59.2208,1.111992,85.36,16725.3,0,1,0,0,85.37671847,88.34,2.963281529
143,2022,9,71.7625907,8.367834,0,0,81.08,159643,1,0,0,0,84.02264274,86.13,2.107357265
144,2022,9,35.93826565,5.148802,0,112.3940318,81.82,33698.25857,1,0,0,0,83.65911607,81.99,-1.669116074
145,2022,9,5.2927,4.363902,128.75,114.363847,86.49,98342.95587,1,0,0,0,85.88404065,88.63,2.745959346
146,2022,9,7.0404,6.758541,0,0,69.65,86099.18492,1,0,0,0,81.2715999,86.03,4.758400096
147,2022,9,0,0.49585,96.1079,1.78187,80.18,5700,1,0,0,0,84.135551,81.9,-2.235551004
148,2022,9,33.25661759,8.878624,0,6.2523,89.68,38643.82,1,0,0,0,85.71082823,84.49,-1.220828228
149,2022,9,0,21.74406,0,0,82.15,79669,0,1,0,0,82.39125098,75.09,-7.301250975
150,2022,9,0.12787929,0.50007,0,7.413096,78.25,22773,1,0,0,0,83.72916533,88.01,4.280834674
151,2022,9,13.5771023,0.9706,0,0,85.35,62746,1,0,0,0,85.80385073,82.85,-2.953850729
152,2022,10,30.25,5.421906,0,0,92.82,69851.5,1,0,0,0,87.02591114,87.37,0.34408886
153,2022,10,42.13453433,31.3314,73.14,30.8484,79.68,64561.7,1,0,0,0,81.25380397,84.18,2.926196029
154,2022,10,0,6.810627,0,20.55,84.74,65938,1,0,0,0,85.04350933,83.24,-1.803509333
155,2022,10,0,0.28,0,0,78.06,14898.68788,1,0,0,0,83.48174388,86.96,3.478256117
156,2022,10,0,0.18,0,0,83.7,14898.68788,1,0,0,0,85.07075679,87.18,2.109243209
157,2022,10,112.7279864,7.57945,0,0,87.16,97916.4,1,0,0,0,84.5394662,74.48,-10.0594662
158,2022,10,15.9997,17.978888,0,0.59571,87.57,88075.02205,1,0,0,0,84.78149886,86.78,1.998501143
159,2022,10,1.5254,4.427413,0,38.44341588,86.49,77109.61648,1,0,0,0,85.78876412,85.36,-0.428764117
160,2022,10,0,1.2449,0,29.97167838,80.12,57614,1,0,0,0,84.24286648,81.08,-3.162866479
161,2022,10,5.5,0.7365738,0,0,76.8,10986,0,0,0,1,81.22490952,81.82,0.595090475
162,2022,11,56.28,7.7436819,0,0,74.87,197472.5309,1,0,0,0,82.68808705,86.49,3.801912954
163,2022,11,0.35,1.479852,0,0,85.15,27816,1,0,0,0,85.27533166,69.65,-15.62533166
164,2022,11,0,0.077478,0,0,88,10440,1,0,0,0,86.09036202,80.18,-5.910362024
165,2022,11,10.6918,1.92432,0,0,85.9,34381.31685,1,0,0,0,85.34538589,89.68,4.334614115
166,2022,11,9.6962,2.12055,0,0,87.26,30100.8174,1,0,0,0,85.68107297,82.15,-3.531072969
167,2022,11,0,2.802528,0,0,79.41,39356.5,1,0,0,0,83.64210134,78.25,-5.39210134
168,2022,11,60.4405231,7.0153,0,1.158325,87.85,50252.1,1,0,0,0,84.84844321,85.35,0.501556787
169,2022,11,0,6.34688,0,71.3541438,85.12,43737.5,1,0,0,0,84.72865591,92.82,8.091344094
170,2022,11,0.94,1.8618696,0,0,85.79,18256.4,0,1,0,0,84.85355335,79.68,-5.173553355
171,2022,11,41.47177791,2.473302,0,0,88.51,27265,0,1,0,0,85.06336027,84.74,-0.32336027
172,2022,11,0,5.784354,0,0,89.24,43130,0,1,0,0,85.67879157,78.06,-7.618791567
173,2022,11,0,0.067488,0,0,91.95,11584,1,0,0,0,87.2165289,83.7,-3.5165289
174,2022,12,248.51,10.769553,0,0,72.78,870062.1,1,0,0,0,84.63239914,87.16,2.527600863
175,2022,12,142.66,6.19494552,0,0,75.89,118126.3766,1,0,0,0,81.62477193,87.57,5.945228065
176,2022,12,51.45,0.77436819,93.14,4.14914,95.04,23584.84416,1,0,0,0,87.11033547,86.49,-0.620335467
177,2022,12,0,3.96,0,0,80.12,294330,1,0,0,0,85.595034,80.12,-5.475033997
178,2022,12,0,9.25,0,0,81.15,61289.25,1,0,0,0,83.51238732,76.8,-6.712387321
179,2022,12,7.95730266,1.7007,0,0,91.37,12975,1,0,0,0,86.60055524,74.87,-11.73055524
180,2022,12,0,3.80855,0,0,94.14,14310.06161,1,0,0,0,87.28551582,85.15,-2.13551582
181,2022,12,36.8473,6.31945,0,2.43036,86.77,41195.63191,1,0,0,0,84.69447965,88,3.305520347
182,2022,12,1.275,4.241311,0,0,86.84,12528.44832,1,0,0,0,85.15915927,85.9,0.740840734
183,2022,12,51.185,4.263888,0,0,79.41,36066.74518,1,0,0,0,82.74501015,87.26,4.514989851
184,2022,12,0,8.445275,0,0,85.29,9252.3,0,1,0,0,83.65791193,79.41,-4.247911931
185,2022,12,39.73,24.869937,0,31.85162275,72.13,468646.3,1,0,0,0,82.78726709,87.85,5.062732905
186,2022,12,39.73,24.869937,0,31.85162275,72.13,468646.3,1,0,0,0,82.78726709,87.85,5.062732905
187,2022,12,39.73,24.869937,0,31.85162275,72.13,468646.3,1,0,0,0,82.78726709,87.85,5.062732905
