道路名称,年份,路龄,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,车道面积,道路属性_主干路,道路属性_次干路,道路属性_快速路,道路属性_支路,pred
105.0,2016.0,16.0,0.0,2.5721,0.0,0.0,79.53,30635.4,1.0,0.0,0.0,0.0,82.8572616136074
106.0,2016.0,16.0,0.0,1.2871,0.0,0.0,77.98999999999998,51657.9,1.0,0.0,0.0,0.0,82.74269640445709
107.0,2016.0,16.0,0.0,0.0437,0.0,0.0,77.5,34658.8,1.0,0.0,0.0,0.0,82.58577722191811
108.0,2016.0,16.0,1.981279,0.20720200000000003,0.0,0.0,80.75,20770.0,1.0,0.0,0.0,0.0,83.32992489099503
109.0,2016.0,16.0,0.0,0.3334,0.0,0.0,81.15,9399.2,1.0,0.0,0.0,0.0,83.35435853600502
110.0,2016.0,16.0,0.0,0.8714,0.0,0.0,80.03,11378.6,1.0,0.0,0.0,0.0,83.00259465575218
111.0,2016.0,16.0,0.0,0.2216,0.0,0.0,74.18,48624.0,0.0,1.0,0.0,0.0,80.97032542347908
112.0,2016.0,16.0,0.0,2.3252,0.0,0.0,60.29999999999999,27723.500000000004,0.0,1.0,0.0,0.0,76.32921911478043
113.0,2016.0,16.0,21.2871,1.3947,0.0,0.0,80.69,32544.0,0.0,1.0,0.0,0.0,82.40387208104134
114.0,2016.0,16.0,28.4352,0.8383000000000002,0.0,0.0,72.0,44698.8,0.0,1.0,0.0,0.0,79.8948967373371
115.0,2016.0,16.0,0.0,2.2366,0.0,0.0,92.1,143561.0,0.0,0.0,1.0,0.0,89.27407517433167
116.0,2016.0,16.0,0.0,1.6163,81.2588,0.0,82.95,56983.200000000004,1.0,0.0,0.0,0.0,84.1250470995903
117.0,2016.0,16.0,0.0,0.6604,0.0,171.888,88.19,23245.0,1.0,0.0,0.0,0.0,84.98506612420083
118.0,2016.0,16.0,2.5454,0.5296,43.2884,0.0,88.75,12968.999999999998,1.0,0.0,0.0,0.0,85.46394168257714
119.0,2016.0,16.0,0.0,0.4486,0.0,0.0,90.61,37593.4,1.0,0.0,0.0,0.0,86.23444365382196
120.0,2016.0,16.0,57.76408800000001,2.2723,0.0,79.52,90.86,32967.2,1.0,0.0,0.0,0.0,85.09554371714593
